id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
3496rr5XSGD6n1Z1OKXovb,0.618,0.704,4,-4.686,1,0.0321,0.159,0.000262,0.358,0.741,124.218,audio_features,spotify:track:3496rr5XSGD6n1Z1OKXovb,https://api.spotify.com/v1/tracks/3496rr5XSGD6n1Z1OKXovb,https://api.spotify.com/v1/audio-analysis/3496rr5XSGD6n1Z1OKXovb,165744,4
3Kuu5vASpXK8oRsxOvau6P,0.673,0.596,10,-7.891,1,0.0354,0.166,0.0,0.11,0.19,123.969,audio_features,spotify:track:3Kuu5vASpXK8oRsxOvau6P,https://api.spotify.com/v1/tracks/3Kuu5vASpXK8oRsxOvau6P,https://api.spotify.com/v1/audio-analysis/3Kuu5vASpXK8oRsxOvau6P,208567,4
6dfYedN2NgFYsPzGGJqHAJ,0.885,0.317,1,-14.143,1,0.119,0.231,0.01,0.111,0.262,102.026,audio_features,spotify:track:6dfYedN2NgFYsPzGGJqHAJ,https://api.spotify.com/v1/tracks/6dfYedN2NgFYsPzGGJqHAJ,https://api.spotify.com/v1/audio-analysis/6dfYedN2NgFYsPzGGJqHAJ,123520,4
1JLn8RhQzHz3qDqsChcmBl,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204,audio_features,spotify:track:1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/tracks/1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/audio-analysis/1JLn8RhQzHz3qDqsChcmBl,304787,4
6dHTkQYY3zdR9i9Nj0IGVW,0.863,0.781,5,-8.546,0,0.0785,0.0394,0.000292,0.125,0.764,122.938,audio_features,spotify:track:6dHTkQYY3zdR9i9Nj0IGVW,https://api.spotify.com/v1/tracks/6dHTkQYY3zdR9i9Nj0IGVW,https://api.spotify.com/v1/audio-analysis/6dHTkQYY3zdR9i9Nj0IGVW,230760,4
63zDVwXZ0tTPIZiQcijBzh,0.416,0.255,2,-10.725,1,0.0317,0.865,4.4e-05,0.127,0.249,179.361,audio_features,spotify:track:63zDVwXZ0tTPIZiQcijBzh,https://api.spotify.com/v1/tracks/63zDVwXZ0tTPIZiQcijBzh,https://api.spotify.com/v1/audio-analysis/63zDVwXZ0tTPIZiQcijBzh,196565,4
4NyKEVldCvokxpmeFBNNXI,0.546,0.613,10,-7.938,0,0.048,0.16,0.00403,0.13,0.446,68.172,audio_features,spotify:track:4NyKEVldCvokxpmeFBNNXI,https://api.spotify.com/v1/tracks/4NyKEVldCvokxpmeFBNNXI,https://api.spotify.com/v1/audio-analysis/4NyKEVldCvokxpmeFBNNXI,284293,4
5UTqHC0FtWx9zPKvva8i9v,0.65,0.701,9,-10.637,0,0.0466,0.433,0.146,0.103,0.132,127.915,audio_features,spotify:track:5UTqHC0FtWx9zPKvva8i9v,https://api.spotify.com/v1/tracks/5UTqHC0FtWx9zPKvva8i9v,https://api.spotify.com/v1/audio-analysis/5UTqHC0FtWx9zPKvva8i9v,194769,4
6Ceejf3zBXvAhIY9DbP1Pr,0.795,0.64,1,-13.478,1,0.0294,0.0631,2.13e-06,0.0692,0.954,102.633,audio_features,spotify:track:6Ceejf3zBXvAhIY9DbP1Pr,https://api.spotify.com/v1/tracks/6Ceejf3zBXvAhIY9DbP1Pr,https://api.spotify.com/v1/audio-analysis/6Ceejf3zBXvAhIY9DbP1Pr,227573,4
62ke5zFUJN6RvtXZgVH0F8,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97e-05,0.334,0.304,90.99,audio_features,spotify:track:62ke5zFUJN6RvtXZgVH0F8,https://api.spotify.com/v1/tracks/62ke5zFUJN6RvtXZgVH0F8,https://api.spotify.com/v1/audio-analysis/62ke5zFUJN6RvtXZgVH0F8,232893,4
5ljGmNLjvQZm2hw8cDJXNJ,0.581,0.548,9,-13.448,1,0.0325,0.184,0.00165,0.163,0.672,139.149,audio_features,spotify:track:5ljGmNLjvQZm2hw8cDJXNJ,https://api.spotify.com/v1/tracks/5ljGmNLjvQZm2hw8cDJXNJ,https://api.spotify.com/v1/audio-analysis/5ljGmNLjvQZm2hw8cDJXNJ,218307,4
4XdaaDFE881SlIaz31pTAG,0.435,0.956,8,-1.369,0,0.144,0.000448,0.655,0.343,0.103,174.029,audio_features,spotify:track:4XdaaDFE881SlIaz31pTAG,https://api.spotify.com/v1/tracks/4XdaaDFE881SlIaz31pTAG,https://api.spotify.com/v1/audio-analysis/4XdaaDFE881SlIaz31pTAG,342618,4
71SvEDmsOwIWw1IozsZoMA,0.529,0.932,7,-7.501,1,0.0488,0.00251,0.00109,0.136,0.571,138.158,audio_features,spotify:track:71SvEDmsOwIWw1IozsZoMA,https://api.spotify.com/v1/tracks/71SvEDmsOwIWw1IozsZoMA,https://api.spotify.com/v1/audio-analysis/71SvEDmsOwIWw1IozsZoMA,201693,4
2OZNEa3tW5HKAaAQqnJope,0.646,0.576,2,-7.827,1,0.071,0.449,0.0,0.342,0.375,149.821,audio_features,spotify:track:2OZNEa3tW5HKAaAQqnJope,https://api.spotify.com/v1/tracks/2OZNEa3tW5HKAaAQqnJope,https://api.spotify.com/v1/audio-analysis/2OZNEa3tW5HKAaAQqnJope,185600,4
0vOkmmJEtjuFZDzrQSFzEE,0.741,0.58,4,-9.05,1,0.0304,0.117,3.31e-05,0.212,0.944,127.402,audio_features,spotify:track:0vOkmmJEtjuFZDzrQSFzEE,https://api.spotify.com/v1/tracks/0vOkmmJEtjuFZDzrQSFzEE,https://api.spotify.com/v1/audio-analysis/0vOkmmJEtjuFZDzrQSFzEE,171267,4
4jYuAdVCOMkEQJWV2qvlj6,0.336,0.636,5,-6.185,1,0.0378,0.671,0.00379,0.105,0.387,81.986,audio_features,spotify:track:4jYuAdVCOMkEQJWV2qvlj6,https://api.spotify.com/v1/tracks/4jYuAdVCOMkEQJWV2qvlj6,https://api.spotify.com/v1/audio-analysis/4jYuAdVCOMkEQJWV2qvlj6,286867,4
6Kd8HZ2iLbSWGcKJfpNeTY,0.687,0.932,0,-3.554,1,0.0482,0.0255,0.0,0.0698,0.818,127.98,audio_features,spotify:track:6Kd8HZ2iLbSWGcKJfpNeTY,https://api.spotify.com/v1/tracks/6Kd8HZ2iLbSWGcKJfpNeTY,https://api.spotify.com/v1/audio-analysis/6Kd8HZ2iLbSWGcKJfpNeTY,168831,4
4fvpSvvMoEd9ka3wfMGjKn,0.318,0.427,8,-6.912,1,0.0288,0.436,0.0,0.105,0.282,92.535,audio_features,spotify:track:4fvpSvvMoEd9ka3wfMGjKn,https://api.spotify.com/v1/tracks/4fvpSvvMoEd9ka3wfMGjKn,https://api.spotify.com/v1/audio-analysis/4fvpSvvMoEd9ka3wfMGjKn,320627,4
4J0DbyODwZJcmIAiTSJfMF,0.304,0.305,2,-10.879,1,0.0298,0.871,0.00368,0.367,0.464,146.066,audio_features,spotify:track:4J0DbyODwZJcmIAiTSJfMF,https://api.spotify.com/v1/tracks/4J0DbyODwZJcmIAiTSJfMF,https://api.spotify.com/v1/audio-analysis/4J0DbyODwZJcmIAiTSJfMF,180693,3
39kH6C2twlYjyssIW02sbr,0.799,0.772,7,-3.272,0,0.105,0.213,0.0,0.0892,0.61,141.968,audio_features,spotify:track:39kH6C2twlYjyssIW02sbr,https://api.spotify.com/v1/tracks/39kH6C2twlYjyssIW02sbr,https://api.spotify.com/v1/audio-analysis/39kH6C2twlYjyssIW02sbr,170560,4
0JkIre0YxNmKGMU5V7ZiDx,0.652,0.433,7,-12.843,1,0.0588,0.134,7.37e-06,0.146,0.675,91.471,audio_features,spotify:track:0JkIre0YxNmKGMU5V7ZiDx,https://api.spotify.com/v1/tracks/0JkIre0YxNmKGMU5V7ZiDx,https://api.spotify.com/v1/audio-analysis/0JkIre0YxNmKGMU5V7ZiDx,258733,4
6Wiamk8BAAP50gAAJopsy2,0.46,0.932,0,-6.264,1,0.0468,0.139,0.00504,0.114,0.849,203.617,audio_features,spotify:track:6Wiamk8BAAP50gAAJopsy2,https://api.spotify.com/v1/tracks/6Wiamk8BAAP50gAAJopsy2,https://api.spotify.com/v1/audio-analysis/6Wiamk8BAAP50gAAJopsy2,227463,4
5hviCr3lgg6LY6noG6DPKs,0.571,0.438,2,-7.007,1,0.0279,0.534,1.56e-05,0.187,0.444,145.948,audio_features,spotify:track:5hviCr3lgg6LY6noG6DPKs,https://api.spotify.com/v1/tracks/5hviCr3lgg6LY6noG6DPKs,https://api.spotify.com/v1/audio-analysis/5hviCr3lgg6LY6noG6DPKs,230549,4
57h06SZNL6LJ3YKZ1UGCeu,0.588,0.644,7,-9.547,1,0.0338,0.0928,0.0472,0.092,0.49,95.647,audio_features,spotify:track:57h06SZNL6LJ3YKZ1UGCeu,https://api.spotify.com/v1/tracks/57h06SZNL6LJ3YKZ1UGCeu,https://api.spotify.com/v1/audio-analysis/57h06SZNL6LJ3YKZ1UGCeu,255533,4
2IfpSQcggsntXGjXRFWj1b,0.502,0.699,10,-7.691,1,0.0301,0.313,0.0,0.151,0.653,85.212,audio_features,spotify:track:2IfpSQcggsntXGjXRFWj1b,https://api.spotify.com/v1/tracks/2IfpSQcggsntXGjXRFWj1b,https://api.spotify.com/v1/audio-analysis/2IfpSQcggsntXGjXRFWj1b,260853,4
