Artist,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,set,K44
ZZ Top,Buck Nekkid,3zC11UCYePFU8XQU3R0uJt,0.608,0.83,2,-4.07,0,0.0316,0.0304,0.000457,0.191,0.901,119.978,audio_features,spotify:track:3zC11UCYePFU8XQU3R0uJt,https://api.spotify.com/v1/tracks/3zC11UCYePFU8XQU3R0uJt,https://api.spotify.com/v1/audio-analysis/3zC11UCYePFU8XQU3R0uJt,182400,4,N,18
George Jones,Forever's Here To Stay,1q0wCfrE9eGFMzS2g8aVnx,0.351,0.21,8,-14.838,1,0.0334,0.76,0.000138,0.29,0.394,144.25,audio_features,spotify:track:1q0wCfrE9eGFMzS2g8aVnx,https://api.spotify.com/v1/tracks/1q0wCfrE9eGFMzS2g8aVnx,https://api.spotify.com/v1/audio-analysis/1q0wCfrE9eGFMzS2g8aVnx,195760,4,N,13
Eric Clapton,Call Me The Breeze,12WiGqEs3t5hrzBJTe1K0P,0.271,0.642,2,-10.475,1,0.0384,0.00434,0.0781,0.118,0.819,186.366,audio_features,spotify:track:12WiGqEs3t5hrzBJTe1K0P,https://api.spotify.com/v1/tracks/12WiGqEs3t5hrzBJTe1K0P,https://api.spotify.com/v1/audio-analysis/12WiGqEs3t5hrzBJTe1K0P,309773,4,N,11
Frank Sinatra,Amor,3aEJMh1cXKEjgh52claxQp,0.585,0.247,1,-12.612,1,0.04,0.452,8.85e-06,0.107,0.591,127.15,audio_features,spotify:track:3aEJMh1cXKEjgh52claxQp,https://api.spotify.com/v1/tracks/3aEJMh1cXKEjgh52claxQp,https://api.spotify.com/v1/audio-analysis/3aEJMh1cXKEjgh52claxQp,223760,4,N,21
NOFX,I Wanna Be Your Baby,623rCJiHpqJ3szrYQjAlLz,0.523,0.826,2,-7.6,1,0.0812,0.0281,0.000121,0.533,0.673,169.773,audio_features,spotify:track:623rCJiHpqJ3szrYQjAlLz,https://api.spotify.com/v1/tracks/623rCJiHpqJ3szrYQjAlLz,https://api.spotify.com/v1/audio-analysis/623rCJiHpqJ3szrYQjAlLz,176333,3,N,38
Lata Mangeshkar,Man Mera Udata Jaaye,58XCR4OiSlFULlDmACjrF8,0.316,0.5,5,-7.557,1,0.0532,0.918,0.00696,0.149,0.679,199.178,audio_features,spotify:track:58XCR4OiSlFULlDmACjrF8,https://api.spotify.com/v1/tracks/58XCR4OiSlFULlDmACjrF8,https://api.spotify.com/v1/audio-analysis/58XCR4OiSlFULlDmACjrF8,338797,3,N,37
Depeche Mode,Damaged People,7dhM0KUBxuZV9z5iNodLyn,0.679,0.741,11,-7.596,1,0.0494,0.134,0.207,0.0985,0.363,130.033,audio_features,spotify:track:7dhM0KUBxuZV9z5iNodLyn,https://api.spotify.com/v1/tracks/7dhM0KUBxuZV9z5iNodLyn,https://api.spotify.com/v1/audio-analysis/7dhM0KUBxuZV9z5iNodLyn,294773,4,N,1
Queen Latifah,Ladies First,76eqlAukVuAvxovEbCK3uh,0.846,0.795,11,-9.984,1,0.28,0.0572,0.0,0.307,0.874,107.32,audio_features,spotify:track:76eqlAukVuAvxovEbCK3uh,https://api.spotify.com/v1/tracks/76eqlAukVuAvxovEbCK3uh,https://api.spotify.com/v1/audio-analysis/76eqlAukVuAvxovEbCK3uh,238693,4,N,4
Nickelback,I'd Come For You,1xQZtbipNLyP0e0hihE5F5,0.489,0.748,2,-5.488,1,0.0311,0.033,0.0,0.144,0.385,147.998,audio_features,spotify:track:1xQZtbipNLyP0e0hihE5F5,https://api.spotify.com/v1/tracks/1xQZtbipNLyP0e0hihE5F5,https://api.spotify.com/v1/audio-analysis/1xQZtbipNLyP0e0hihE5F5,262627,4,N,29
Elton John,All The Girls Love Alice,4P9Q0GojKVXpRTJCaL3kyy,0.718,0.467,2,-9.66,1,0.0398,0.707,6.92e-05,0.126,0.396,95.96,audio_features,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,https://api.spotify.com/v1/tracks/4P9Q0GojKVXpRTJCaL3kyy,https://api.spotify.com/v1/audio-analysis/4P9Q0GojKVXpRTJCaL3kyy,221407,3,N,21
Frank Sinatra,A Lovely Way To Spend An Evening,3sqXSFkQsxfFZiVAF8FYiT,0.183,0.193,7,-16.749,1,0.0361,0.925,0.94,0.104,0.164,93.845,audio_features,spotify:track:3sqXSFkQsxfFZiVAF8FYiT,https://api.spotify.com/v1/tracks/3sqXSFkQsxfFZiVAF8FYiT,https://api.spotify.com/v1/audio-analysis/3sqXSFkQsxfFZiVAF8FYiT,210518,4,N,31
Cinderella,Winds Of Change,3ovjw5HZZv43SxTwApooCM,0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505,audio_features,spotify:track:3ovjw5HZZv43SxTwApooCM,https://api.spotify.com/v1/tracks/3ovjw5HZZv43SxTwApooCM,https://api.spotify.com/v1/audio-analysis/3ovjw5HZZv43SxTwApooCM,312360,4,N,3
Bob Dylan,Freight Train Blues,6oo0HD3mrcYtzApYeYsS4L,0.706,0.757,7,-7.543,0,0.0323,0.494,7.63e-05,0.116,0.69,120.967,audio_features,spotify:track:6oo0HD3mrcYtzApYeYsS4L,https://api.spotify.com/v1/tracks/6oo0HD3mrcYtzApYeYsS4L,https://api.spotify.com/v1/audio-analysis/6oo0HD3mrcYtzApYeYsS4L,279067,4,N,7
Black Sabbath,Killing Yourself To Live,387JMg7bz2JPHhLqXC1RBy,0.336,0.624,11,-11.909,0,0.039,0.00113,0.0447,0.17,0.469,128.956,audio_features,spotify:track:387JMg7bz2JPHhLqXC1RBy,https://api.spotify.com/v1/tracks/387JMg7bz2JPHhLqXC1RBy,https://api.spotify.com/v1/audio-analysis/387JMg7bz2JPHhLqXC1RBy,342442,4,N,20
Verve,She's A Superstar,20j7l6tFtc5lynXpbOQg1O,0.756,0.394,4,-7.321,0,0.0956,0.945,0.0371,0.12,0.197,70.027,audio_features,spotify:track:20j7l6tFtc5lynXpbOQg1O,https://api.spotify.com/v1/tracks/20j7l6tFtc5lynXpbOQg1O,https://api.spotify.com/v1/audio-analysis/20j7l6tFtc5lynXpbOQg1O,127055,4,N,0
Bosson,Live Forever,1Vjn9saTlgAdag9UECRafl,0.743,0.674,9,-5.583,1,0.0347,0.121,0.656,0.128,0.119,119.97,audio_features,spotify:track:1Vjn9saTlgAdag9UECRafl,https://api.spotify.com/v1/tracks/1Vjn9saTlgAdag9UECRafl,https://api.spotify.com/v1/audio-analysis/1Vjn9saTlgAdag9UECRafl,160640,4,N,40
Poison,Good Love,1U2zdqH6QPgbY6jXJdeGvH,0.802,0.699,11,-3.494,1,0.243,0.00141,0.0,0.306,0.877,127.954,audio_features,spotify:track:1U2zdqH6QPgbY6jXJdeGvH,https://api.spotify.com/v1/tracks/1U2zdqH6QPgbY6jXJdeGvH,https://api.spotify.com/v1/audio-analysis/1U2zdqH6QPgbY6jXJdeGvH,184906,4,N,4
Styx,Witch Wolf,0dYyoXoeJq4l75v8gVENsi,0.413,0.852,9,-6.202,0,0.0694,0.000238,0.738,0.0327,0.708,137.72,audio_features,spotify:track:0dYyoXoeJq4l75v8gVENsi,https://api.spotify.com/v1/tracks/0dYyoXoeJq4l75v8gVENsi,https://api.spotify.com/v1/audio-analysis/0dYyoXoeJq4l75v8gVENsi,237800,4,N,14
Christina Aguilera,Climb Every Mountain,7jpbYyc0FzaISVxdJbtrGr,0.234,0.295,5,-12.499,1,0.0361,0.86,0.0,0.117,0.209,92.385,audio_features,spotify:track:7jpbYyc0FzaISVxdJbtrGr,https://api.spotify.com/v1/tracks/7jpbYyc0FzaISVxdJbtrGr,https://api.spotify.com/v1/audio-analysis/7jpbYyc0FzaISVxdJbtrGr,138640,1,N,13
Kris Kristofferson,Late John Garfield Blues,69ryt6bXt3PCkFRqYSmzjG,0.392,0.458,2,-13.89,1,0.0899,0.716,5.52e-05,0.75,0.511,144.189,audio_features,spotify:track:69ryt6bXt3PCkFRqYSmzjG,https://api.spotify.com/v1/tracks/69ryt6bXt3PCkFRqYSmzjG,https://api.spotify.com/v1/audio-analysis/69ryt6bXt3PCkFRqYSmzjG,172907,3,N,24
