Artist,Title
Walker Hayes ,AA
Katy Perry ,Firework
Lil Tjay ,Not In The Mood
Camila Cabello ,Never Be the Same
Lil Baby ,Can't Explain
Kehlani ,Open (Passionate)
Future ,Testify
Lil Yachty ,Who Want The Smoke?
Anuel AA ,Que Se Joda
YG ,Go Loko
State of Sound ,Wake Up Where You Are
Roddy Ricch ,hibachi
Brett Eldredge ,Wanna Be That Song
Khalid ,Bluffin'
Charli XCX ,Break the Rules
Bebe Rexha ,Break My Heart Myself
Kehlani ,Gangsta (From Suicide Squad The Album)
Ariana Grande ,love language
Gucci Mane ,Off the Boat
One Direction ,Love You Goodbye
Juice WRLD ,Big
Calvin Harris ,Nuh Ready Nuh Ready
Wiz Khalifa ,Penthouse
Mitski ,I Guess
Slipknot ,The Devil In I
Russ ,Missin You Crazy
2 Chainz ,Big Amount
2 Chainz ,Bounce
SAINt JHN ,Roses  Imanbek Remix
Pharrell Williams ,Freedom
Sabrina Carpenter ,Why
Hailee Steinfeld ,Capital Letters
Russ ,NEED A MINUTE
Sam Smith ,How Do You Sleep?
SZA ,Miles
Billie Eilish ,you should see me in a crown
BTS ,Permission to Dance
David Bowie ,Blue Jean  1999 Remastered Version
Why Don't We ,Big Plans
G,Eazy  Bone Marrow
Shawn Mendes ,Dream
Lil Uzi Vert ,I Can Show You
Jeremy Zucker ,not ur friend
Lil Yachty ,TALK TO ME NICE
Gorillaz ,Busted and Blue
NF ,DRIFTING
Jidenna ,Classic Man  Remix
Hozier ,Someone New
Gunna ,Too Easy
Jeremih ,Don't Tell 'Em
Beyoncé ,MOVE
Lil Tjay ,20/20
"Tyler, The Creator ",I DON'T LOVE YOU ANYMORE
MiC LOWRY ,Oh Lord
Chris Brown ,Zero
Logic ,Everybody
Drake ,Elevate
PARTYNEXTDOOR ,Damage
Mariah Carey ,All I Want for Christmas Is You
Chris Young ,At the End of a Bar
Calvin Harris ,New To You
The Black Keys ,Lo/Hi
Major Lazer ,Hell and High Water
Shawn Mendes ,Mercy
Nicki Minaj ,LLC
T,Pain  Buy U a Drank (Shawty Snappin')
Kanye West ,Champions
The Weeknd ,Final Lullaby  Bonus Track
Jessie Murph ,Pray
ScHoolboy Q ,Lies
Why Don't We ,Feliz Navidad  Recorded at Spotify Studios NYC
Trey Songz ,Come Over
Future ,Goin Dummi
A Boogie Wit da Hoodie ,Notifications
Lorde ,Dominoes
Bow Wow Wow ,I Want Candy
Adam Lambert ,Ghost Town
Britney Spears ,Pretty Girls
Future ,Super Trapper
Moneybagg Yo ,See Wat I’m Sayin
Jon Bellion ,Conversations with my Wife
6LACK ,Unfair
A$AP Ferg ,New Level
Roddy Ricch ,paid my dues
Ellie Goulding ,Burn
The Chainsmokers ,Let You Go
G,Eazy  Still Be Friends
Pop Smoke ,Dior
Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse
Bee Gees ,Stayin' Alive
Leonard Cohen ,You Want It Darker
Chris Brown ,Pills & Automobiles
Miguel ,Simple Things
G,Eazy  The Beautiful & Damned
Mac Miller ,It Just Doesn’t Matter
John Mayer ,Shot in the Dark
Earl Sweatshirt ,Huey
Pop Smoke ,West Coast Shit
21 Savage ,all my friends
21 Savage ,Mad Stalkers
Anderson .Paak ,JEWELZ
The 1975 ,Give Yourself A Try
Joji ,Ew
LANY ,ex i never had
Chance the Rapper ,The Highs & The Lows
Radiohead ,Burn the Witch
J Balvin ,No Es Justo
Lana Del Rey ,Did you know that there's a tunnel under Ocean Blvd
iann dior ,Holding On
Yo Gotti ,Rake It Up
Tory Lanez ,Adidas
Steve Aoki ,I Love It When You Cry (Moxoki)
Drake ,Desires
Tyga ,VACATION
The Kid LAROI ,SO DONE
Migos ,Birthday
John Mellencamp ,Jack & Diane
Omarion ,Post to Be
Tate McRae ,don't come back
Jason Mraz ,Lucky
A$AP Ferg ,Strive
Daya ,Words
Ed Sheeran ,One
SZA ,Blind
ROSALÍA ,CANDY
Lil Baby ,Russian Roulette
Petit Biscuit ,Sunset Lover
YoungBoy Never Broke Again ,Dirty Stick
Khalid ,Suncity
6ix9ine ,GOTTI
Taylor Swift ,I Did Something Bad
Anuel AA ,Los Dioses
Morgan Wallen ,You Proof
Migos ,Top Down On Da NAWF
Tony Bennett ,Silver Bells
The Lumineers ,Salt And The Sea
Future ,Off Dat
Ed Sheeran ,Bibia Be Ye Ye
Kendrick Lamar ,A.D.H.D
BTS ,My Time
Doja Cat ,Juicy
Logic ,Celebration
Soundgarden ,Rusty Cage
Sleeping At Last ,I'm Gonna Be (500 Miles)
Omarion ,I'm Sayin'
88,Keys  That's Life
Migos ,Straightenin
Kanye West ,Feedback
"Tyler, The Creator ",Pothole
Taylor Swift ,The Lucky One (Taylor's Version)
Lana Del Rey ,Yosemite
Soft Cell ,Tainted Love
Coldplay ,A Head Full of Dreams
Migos ,Out Yo Way
J Balvin ,Mi Gente
MohandBadz ,Samany Setk
21 Savage ,Close My Eyes
Khalid ,9.13
HAIM ,Now I'm In It
French Montana ,Out Of Your Mind
XXXTENTACION ,Touch Eem Body
Martin Garrix ,In the Name of Love
Foo Fighters ,Best of You
Brett Eldredge ,Christmas Time Is Here
Tove Lo ,Talking Body
Juice WRLD ,You Wouldn't Understand
Mabel ,Don't Call Me Up
Juice WRLD ,Hide
Lil Mosey ,Stuck In A Dream
Bing Crosby ,Frosty The Snowman
Dierks Bentley ,Somewhere On A Beach
Kacey Musgraves ,good wife
Vance Joy ,Call If You Need Me
Fousheé ,Deep End
Drake ,Major Distribution
Red Hot Chili Peppers ,Dark Necessities
Playboi Carti ,wokeuplikethis*
Rita Ora ,Only Want You
Future ,Slave Master
Kevin Gates ,2 Phones
DJ Snake ,Selfish Love
Nat King Cole ,The Happiest Christmas Tree
Post Malone ,Stay
Future ,PUFFIN ON ZOOTIEZ
Tom Petty and the Heartbreakers ,Refugee
Cold War Kids ,First
Ed Sheeran ,Merry Christmas
Jordan Davis ,Slow Dance In A Parking Lot
Lil Skies ,No Rest
Morgan Wallen ,Your Bartender
Kendrick Lamar ,untitled 06 06.30.2014.
Taylor Swift ,Bad Blood
Justin Bieber ,Christmas Love
Takeoff ,Vacation
Edward Sharpe & The Magnetic Zeros ,Home
Gucci Mane ,Big Booty
Baby Keem ,16
Russ ,SMALL TALK
Young Stoner Life ,That Go!
XXXTENTACION ,I don’t let go
Young Thug ,Livin It Up
Don Toliver ,Way Bigger
Huncho Jack ,How U Feel
Soundgarden ,Burden In My Hand
A Boogie Wit da Hoodie ,Demons and Angels
Camila Cabello ,Don't Go Yet
Cordae ,Super
ScHoolboy Q ,Collard Greens
Kendrick Lamar ,Purple Hearts
Tyga ,Sunshine
JENNIE ,SOLO
J Balvin ,Morado
Childish Gambino ,Feels Like Summer
Quavo ,RERUN
Chris Stapleton ,Parachute
Camila Cabello ,Havana  Remix
Run The Jewels ,a few words for the firing squad (radiation)
Bon Iver ,AUATC
Jhené Aiko ,Summer 2020  interlude
DaBaby ,CAN'T STOP
Alicia Keys ,Show Me Love
dvsn ,Memories
Future ,Different
Big Sean ,Pull Up N Wreck (With Metro Boomin)
A Boogie Wit da Hoodie ,Drowning
Major Lazer ,Lay Your Head On Me
*NSYNC ,"Merry Christmas, Happy Holidays"
Polo G ,Black Man in America
Khalid ,Right Back
Foo Fighters ,Making A Fire
Lil Tjay ,Brothers
Chris Jedi ,Ahora Dice
Ambjaay ,Uno
$uicideboy$ ,I Wanna Be Romanticized
LANY ,up to me
iann dior ,let you
Coldplay ,Adventure of a Lifetime
Katy Perry ,Teenage Dream
Rich The Kid ,Like Mike
Clean Bandit ,Rockabye
Machine Gun Kelly ,Glass House
Marshmello ,Ritual
Trey Songz ,Slow Motion
Paul McCartney ,Wonderful Christmastime  Remastered 2011 / Edited Version
Gucci Mane ,All My Children
